;Id;text;S_naive;S
101;101;Good base pay for non tech engineering jobs.. ;0;0.0
102;102;Pay is good with good benefits to match.. ;0;0.0
104;104;None since they removed the premium and cost of living is high. ;0;0.0
105;105;Good benefits, competitive pay, diverse areas to work large scale projects and lots of people within the organization to work great people (in general) all working hard to accomplish goals great networking. ;0;0.0
107;107;"Beautiful Office Campus Highly unlikely you will be fired Good salary to work effort ratio (low stress) Work assignments can range from fascinating to mind numbing Good lower to mid-level employee racial and gender diversity; will work its way to the top over time. ";0;0.0
108;108;Pension is still available and PTO is great. I like company but some people do not, company is great can’t complain. ;0;0.0
110;110;The backbone of being a reputable corporation. ;0;0.0
111;111;good company to work for. ;0;0.0
112;112;None that I can think of. ;0;0.0
113;113;Focused on employee development, great compensation. ;0;0.0
114;114;-Great starting salary -Great people to learn from. ;0;0.0
115;115;1. Great benefits, decent pay (albeit behind tech salaries) — the money goes far in Houston. 2. A nice campus.. ;0;0.0
116;116;Easy and short 6 hour shifts. ;0;0.0
117;117;Management was very nice and understanding when it came to working around school schedules. It was also a very easy going job.. ;0;0.0
118;118;They have a good pension plan, good 401k plan and medical plans. Some of the best in the industry.. ;0;0.0
119;119;Money is good, especially for the location. Looks good on the resume, and the engineers you work with are all smart people.. ;0;0.0
120;120;Exxonmobil pays their employees very well and the benefits are exceptional. They provide you with job security. ;0;0.0
121;121;"It is definitely a global community to learn and grow. It is a recognized brand and strong organization. Good salaries and benefits program; wonderful facilities.. ";0;0.0
122;122;The compensation used to be competitive but now lags competitors. Engineers leaving in droves for other industries including tech, sustainable energy, etc.. ;0;0.0
124;124;easy job easy job easy job easy job easy job easy job easy job easy job. ;0;0.0
125;125;Great pay Chances to travel Alot of great minds work here. People can be a little competitive. ;0;0.0
126;126;Good pay. Great work place flexibility policy.. ;0;0.0
128;128;plenty of overtime, paid vacation, medical.. ;0;0.0
129;129;If you want to work only for money, it is good place. But even now you will earn less. ;0;0.0
130;130;Pension, Salary, Benefits are all great People that are some of the best and kindest folks. They're the reason I stayed so long.. ;0;0.0
131;131;Not hard work or long hours as long as everyone else do like they should. ;0;0.0
132;132;friendly work space fast paced work environment. ;0;0.0
133;133;The initial pay is fine. The matching savings plan is coming back for the foreseeable future. It’s a great name on the resume and will take you far. Great way to change companies.. ;0;0.0
134;134;Decent pay, trainings, and benefits. ;0;0.0
137;137;The pay was good. The management was okay and benefits were good.. ;0;0.0
138;138;great company to work for. ;0;0.0
139;139;Paid me in time & correctly Best 1980’s management practices. ;0;0.0
141;141;Big and mostly fair. Rewards success. ;0;0.0
144;144;Business class travel, salary for Houston, good campus, gas discounts. Good for experience after school. ;0;0.0
145;145;The customers are the only good part and that’s saying something.. ;0;0.0
146;146;Colleagues are wonderful, work rotation can keep you engaged. Diverse work force.. ;0;0.0
149;149;Robust technical systems making engineering tasks easy. ;0;0.0
153;153;Nothing at this point imho. They pride themselves in being superior but I really doubt it! I just find them obnoxious and loud!. ;0;0.0
157;157;Really Smart Coworkers Interesting Projects Good compensation and benefits. ;0;0.0
159;159;Great people to work with. ;0;0.0
160;160;Good salary, relatively stable compared to oil and gas companies. ;0;0.0
162;162;Good Company, Good Culture, Good People. ;0;0.0
163;163;The environment encourages continuous learning. Challenging to develop projects yet rewarding when they are executed. ;0;0.0
164;164;Long established business and work processes. ;0;0.0
165;165;The myriad of benefits are excellent.. ;0;0.0
166;166;Talented technical people. Unfortunately many of the good ones are quitting leaving behind bloated and incompetent management. No pros left.. ;0;0.0
167;167;Good team members to work with. ;0;0.0
168;168;Very stable company with competitive salary.. ;0;0.0
172;172;Decent benefits before covid and strong environment for mentorship. Name brand recognition on resume.. ;0;0.0
173;173;Great place, great coworkers, awesome manager.. ;0;0.0
174;174;alot of good people, learn and grow in the company. ;0;0.0
175;175;money only, possible retirement? benefits. ;0;0.0
176;176;Offers moving package when they force you to transfer. ;0;0.0
178;178;Diversity of people Campus location pension flexible work hours Wellness Center. ;0;0.0
179;179;Salary, well until you flatten out. ;0;0.0
180;180;ExxonMobil still offers their employees a pension. ;0;0.0
181;181;good pay, good location, interesting work. ;0;0.0
182;182;Nice people at my site. ;0;0.0
184;184;This company has Great Benefits!!. ;0;0.0
185;185;Great people to work with, easy going, everyone works together. ;0;0.0
186;186;Looming Pension still stands but for how much longer.. No one knows!. ;0;0.0
187;187;Benefits are not too bad and the hours are good as well. Pay is decent.. ;0;0.0
188;188;Benefits, compensation, variations of jobs. ;0;0.0
189;189;Awesome benefits and great pay. ;0;0.0
191;191;Salary / pay is good and comparable to industry. ;0;0.0
192;192;Pay is still very good, development process can offer some unique job experiences.. ;0;0.0
193;193;The 3 to 1 college donation match was really nice, but it’s been removed, hopefully they’ll bring it back.. ;0;0.0
194;194;There are no pros working here. (Beaumont). ;0;0.0
195;195;Great place to work. Good pay. Important work.. ;0;0.0
196;196;Complex, impactful, real-world problems with major implications. ;0;0.0
197;197;Lots of fun projects to work on.. ;0;0.0
199;199;Great pay, easy to stay busy, I like being around most other coworkers. ;0;0.0
200;200;Pay and benefits as well as corporate structure. ;0;0.0
201;201;Overall the work and people are great. ;0;0.0
202;202;medical, dental, vacation, pension, 401k, education reimbursement. ;0;0.0
203;203;rate of professional growth is very high. ;0;0.0
204;204;There are no pros of working at BlueSky Exxon.. ;0;0.0
207;207;- Benefits - Parental Leave (6 weeks within 1 year) - Pension. ;0;0.0
208;208;Lots of Kool-Aid to drink. ;0;0.0
209;209;nan;0;0.0
210;210;- good pay - best customer service. ;0;0.0
211;211;Enjoyed the projects group that I was in.. ;0;0.0
213;213;nan;0;0.0
214;214;Benefits can be somewhat high. ;0;0.0
216;216;The other new hires were fun to work with. Some brilliant minds to work besides Decent starting pay for software Food on Spring Campus is good. ;0;0.0
218;218;Good people to work with. ;0;0.0
219;219;Pay remains somewhat competitive Bright and talented people still works here. ;0;0.0
220;220;Its a great company to work for. If you are dedicated and passionate about your job hen you will succeed!. ;0;0.0
222;222;nan;0;0.0
223;223;Very smart people, good benefits. ;0;0.0
224;224;Meaningful work, competitive salary, that’s it. ;0;0.0
225;225;Promotes from within via very structured process. ;0;0.0
226;226;High salary relative to other Analytical Chemists.. ;0;0.0
227;227;New board members recently elected. ;0;0.0
228;228;room for growth. good work teams. ;0;0.0
231;231;Great Medical Benefits (includes eye & dental). ;0;0.0
232;232;good benifits, ok pay, short commute. ;0;0.0
233;233;Great salary and Benefits starting off. ;0;0.0
235;235;Smart people- but most have left. ;0;0.0
237;237;Initially the pay may seem very attractive, however, you quickly realized that it is not worth it.. ;0;0.0
238;238;Lots of OT to work. ;0;0.0
239;239;Great pay when times are good.. ;0;0.0
240;240;Pension, PPTO, 401k match, base salary, company phone.. ;0;0.0
241;241;hands-off culture, lots of autonomy. ;0;0.0
242;242;Decent compensation,benefits, wlb,but nothing compared to the past. ;0;0.0
243;243;Major in the Energy Sector. ;0;0.0
244;244;- Great people - Interesting work - Overall, good benefits. ;0;0.0
245;245;nan;0;0.0
247;247;steady work, good pay, plenty of overtime, good retirement with pension, good medical, plenty of time off, vacation. ;0;0.0
249;249;Good benefits and work place flexibility. ;0;0.0
251;251;Great Compensation and Benefits. Wonderful people and challenging work.. ;0;0.0
255;255;Working with a great team is the key factor to make all projects successful. Everyone that I worked with was very willing to support one an other. State of the Art Technology, and user friendly.. ;0;0.0
256;256;salary is good until you get old. ;0;0.0
258;258;Money and compensation package is nice. ;0;0.0
259;259;Benefit plan such as medical. ;0;0.0
260;260;Paid on time, beautiful campus.. ;0;0.0
261;261;Good pay for the position. ;0;0.0
262;262;Salary, generally good colleagues, travel (before covid). ;0;0.0
263;263;Nice offices, Ergonomic programs, Stablished processes. ;0;0.0
265;265;Great people atmosphere within groups. ;0;0.0
266;266;Competitive environment for college grads.. ;0;0.0
267;267;Pay is ok and the benefits are above average. ;0;0.0
268;268;Competitive wages for oil and gas industry. ;0;0.0
269;269;Great company to work for. ;0;0.0
270;270;Very fair and ethical company. ;0;0.0
271;271;Competitive salary and good benefits. ;0;0.0
272;272;all good within the company. ;0;0.0
273;273;If you can make it to retirement the pension can be very lucrative. ;0;0.0
274;274;Convenient hours and consistent schedule. ;0;0.0
275;275;used to be stability, rewarding work. ;0;0.0
277;277;Good pay great hours great coworkers. ;0;0.0
278;278;Great colleagues, interesting work, benefits before being cut. ;0;0.0
279;279;Very nice campus, great mentors, great training.. ;0;0.0
280;280;Salary, stability, balanced work hours, good training, exposure to different projects.. ;0;0.0
281;281;Great benefits and flexible schedule. ;0;0.0
282;282;Good pay. Nice office. Good brand.. ;0;0.0
283;283;Feels like a family overall.. ;0;0.0
285;285;Test test test test test. ;0;0.0
286;286;Good pay, strong technical folks. ;0;0.0
287;287;Some benefits are good, and has decent pay. Middle of the pack hourly wage for the industry.. ;0;0.0
288;288;Internship was kept during the pandemic.. ;0;0.0
289;289;The pay is decent, and you won't take your work home with you.. ;0;0.0
290;290;People, hours, place, flexibility, you are on your own. ;0;0.0
291;291;Above average pay, lots of OT, good retirement plan, good culture. ;0;0.0
292;292;Great starting salary, very dynamic job.. ;0;0.0
293;293;Good people with high integrity and progressive culture. ;0;0.0
294;294;Good benefits and pay. Stability. ;0;0.0
295;295;Good salary and benefits consistently. ;0;0.0
296;296;Company used to have strong financial discipline with world-class technical abilities. ;0;0.0
297;297;nan;0;0.0
301;301;Still has some financial clout. ;0;0.0
303;303;Some of the people there. ;0;0.0
304;304;Engineering company, consistent, tries to develop talent internally. ;0;0.0
305;305;Not too many pros so I have none too mention. ;0;0.0
306;306;Stable Job, stable pay, stable raises. ;0;0.0
307;307;Intelligent, competent individual contributors. Good compensation relative to job duties.. ;0;0.0
309;309;Pay and Benefits Co-Workers are topnotch typically Locations are generally fine. ;0;0.0
310;310;Good company to work for.. ;0;0.0
311;311;Great people form all different backgrounds.. ;0;0.0
312;312;Friendly community, kind people, clean store.. ;0;0.0
314;314;Solid pay and other benefits. ;0;0.0
315;315;Pay is good pay is hood. ;0;0.0
316;316;Benefits and high pay for work load. ;0;0.0
317;317;Very interesting place to work and fast paced. ;0;0.0
319;319;Decent pay, good coworkers, good office. ;0;0.0
320;320;Average compensation, just an average or below average mediocre company. ;0;0.0
321;321;Company still thinks it is strong, has a uniquely great culture, is financially sound and makes no mistakes, and perception is reality, at least for management.. ;0;0.0
323;323;Good and progressing. Not much to say. ;0;0.0
325;325;Great people to work with on the technical level. ;0;0.0
326;326;Good company to work for. ;0;0.0
327;327;Ethical, many types of roles, smart people. ;0;0.0
330;330;Nice stepping to bigger position. ;0;0.0
331;331;Benefits, pay, coworkers, nice working environment. ;0;0.0
332;332;pay, benefits, in house training.. ;0;0.0
334;334;Good teammates, nice ergo benefits. ;0;0.0
337;337;Nice people and the work was challenging. Also benefits and vacation a plus.. ;0;0.0
338;338;nan;0;0.0
339;339;Pension, good 401k (currently match taken away), stable job without worry of being sold off.. ;0;0.0
340;340;"Talented coworkers; ability to work on interesting global projects. ";0;0.0
341;341;Great interesting work, great people, and great environment outside of troubled times if you fit the company type.. ;0;0.0
342;342;Good experience with diverse workforce. ;0;0.0
343;343;Good Salary, Excellent exposer, worldwide operation. ;0;0.0
344;344;Great Pay and good experiences. ;0;0.0
345;345;Very competitive and rigid, if you like that. Great pay & benefits.. ;0;0.0
346;346;Good global exposure and concrete results.. ;0;0.0
348;348;Global community, large scale projects. ;0;0.0
350;350;Great benefits, and Awesome pay! Good job. ;0;0.0
352;352;Great starting salary, work with some incredibly bright individuals, ability to work on high dollar projects that very few companies would allow someone with little experience to lead.. ;0;0.0
353;353;Did not seem to bad. ;0;0.0
354;354;Excellent colleagues, huge positive impact on society. ;0;0.0
356;356;The ability to work from home is very positive.. ;0;0.0
357;357;Competitive salary (at least for now). ;0;0.0
359;359;Great working people, great salary, great benefits. ;0;0.0
360;360;Generally enough capital to maintain a consistent slate of projects.. ;0;0.0
361;361;Easy work and overpaid to do it.. ;0;0.0
363;363;good, good, good, good, good. ;0;0.0
365;365;Potential to work internationally due to global reach.. ;0;0.0
366;366;Great to work for eberyday. ;0;0.0
367;367;The pay is above average. ;0;0.0
369;369;Work environment is excellent and positive. ;0;0.0
370;370;Great pay and benefits but many have been taken away with Oil & Gas economic downturn.. ;0;0.0
371;371;Training, salary, overseas assignments, coworkers. ;0;0.0
372;372;Great pay and employees to work with.. ;0;0.0
374;374;Good pay 7/7 schedule is ok. ;0;0.0
376;376;steady, secure, great co-workers, good training. ;0;0.0
379;379;Experience, autonomy, salary, benefits, coworkers. ;0;0.0
384;384;Location, people, scale, science, campus. ;0;0.0
386;386;pay, understanding when something happens, great customers. ;0;0.0
389;389;There are new hire organizations. ;0;0.0
391;391;Lots of really good people. ;0;0.0
392;392;Large company, great benefits, nice campus. ;0;0.0
394;394;Good pay, people are generally sharp. ;0;0.0
395;395;Compensation is competitive for job. ;0;0.0
397;397;A challenging environment where exciting things always happen .. ;0;0.0
398;398;good in terms of salary. ;0;0.0
399;399;Good benefits and base salary, good place to grow if you are willing to put in the time. ;0;0.0
403;403;Electrical Distribution, Domestic and Water distribution Steam PLant wide, Utilities Unit experience as well as Planning.. ;0;0.0
404;404;Great learning experience with diversity.. ;0;0.0
406;406;Good experience, upside for high performers. ;0;0.0
407;407;-Great training -If you're an engineer, you'll get to use your schooling -High starting salary. ;0;0.0
408;408;Pay and benefits, flexibility and team. ;0;0.0
409;409;The pay was really good.. ;0;0.0
411;411;High salary, intelligent colleagues, global company. ;0;0.0
413;413;Great talented people across the world. ;0;0.0
414;414;Decent Pay, but you have to sell your soul to the devil to get it. ;0;0.0
417;417;good experience good experience good experience. ;0;0.0
418;418;The only pro to working here is they still provide a pension. Other than that I would work for any other refinery.. ;0;0.0
420;420;the company had good benefits. ;0;0.0
421;421;Best company to work in. ;0;0.0
422;422;Easy to learn, pretty slow, and pretty much the same customers every shift. ;0;0.0
423;423;In general it is good. ;0;0.0
428;428;Great salary competitive with the industry. ;0;0.0
429;429;Good benefits and pay salary. ;0;0.0
431;431;Culture changing from more conservative to modern company. ;0;0.0
433;433;Benefits, Flexibility, Work Environment, Reputation, Stability. ;0;0.0
435;435;nan;0;0.0
436;436;Tough but good work, Many good people, most in the upper levels of capability in their field Good compensation package if you include the defined benefits pension - not sure it will stay though Demanding on employees but provide substantial support in the event of serious illness or injury. ;0;0.0
437;437;A select few great team members to work with. ;0;0.0
438;438;Pay was considered decent overall.. ;0;0.0
439;439;Easy Work, Flexible Hours, Nice Customers. ;0;0.0
440;440;Facilities. The technical expertise of peers.. ;0;0.0
441;441;Excellent global presence offering great positions. ;0;0.0
443;443;Great, nice, super, ultra, Gigante, company. ;0;0.0
445;445;"Usefulness and communication of processes, don;t have to reinvent the wheel. ";0;0.0
450;450;Great people. Good documentation system. Excellent training program.. ;0;0.0
453;453;Excellent benefits Good coworkers, driven to succeed Treats employees with respect and dignity. ;0;0.0
454;454;Good environment to work in.. ;0;0.0
455;455;friendly co-workers, flexible work hours. ;0;0.0
456;456;Some free time when not busy. Good for studying if you work closing shifts and are in university.. ;0;0.0
457;457;Pay, pension and 401 k. ;0;0.0
460;460;There were no pros as it relates to this company. ;0;0.0
461;461;nan;0;0.0
463;463;-Great pay -Prospects for retirement pension. ;0;0.0
464;464;Top notch colleagues, excellent benefits package. ;0;0.0
468;468;Pay, campus, coworkers, ability to change assignments. ;0;0.0
470;470;What a good good place. ;0;0.0
471;471;Money is good for work. ;0;0.0
472;472;Competitive salary, good work environment. ;0;0.0
473;473;Stability (before 2020), benefit (before 2020), smart colleagues, big and nice campus, interesting projects. ;0;0.0
475;475;Upward mobility - My contributions are valued. ;0;0.0
477;477;good place to work and fun. ;0;0.0
478;478;Good people. Good benefits. Good work content. ;0;0.0
479;479;ing conditions, work with the best of the best. ;0;0.0
480;480;Decent pay, large company, smart people,. ;0;0.0
481;481;They are a great company.. ;0;0.0
482;482;Good benefits, 401k match, and smart people. ;0;0.0
485;485;Great pay with lots of ot. ;0;0.0
489;489;Other than recent layoffs, generally a lot of stability and overall things are organized decently. ;0;0.0
490;490;Good Compensations - They pay very well, though many of the benefits such as 401k matches are gone.. ;0;0.0
491;491;Work as early as you want. ;0;0.0
492;492;Friendly, great pay and hours. ;0;0.0
493;493;Sadly all the former pros are gone. There was a time I loved my job. Those days are past.. ;0;0.0
494;494;Great people and competitive pay. ;0;0.0
495;495;One of the top Pat companies. ;0;0.0
496;496;Great compensation, great benefits, and you work with incredible people. ;0;0.0
497;497;Work with extremely intelligent and motivated co-workers Most individuals tend to be good to work with and helpful Benefits Branding Training. ;0;0.0
499;499;Good benefits, intelligent coworkers, good pay. ;0;0.0
501;501;Solid salary and stable company. ;0;0.0
502;502;Fantastic workplace atmosphere, everyone is very kind and willing to help.. ;0;0.0
504;504;weekly pay, holiday pay right away.. ;0;0.0
505;505;Great benefits, paid for annual certification training, pension, relaxed atmosphere. ;0;0.0
506;506;Money, people, experience, technical work, food. ;0;0.0
508;508;Good benefits, good leadership, engaging work. ;0;0.0
509;509;Good pay with great benefits.. ;0;0.0
511;511;The pay is decent with yearly bonuses.. ;0;0.0
512;512;Helped you learn with mentors for summer project.. ;0;0.0
513;513;Everyone is very friendly and accommodating. P66 also has great benefits and pretty good pay!. ;0;0.0
514;514;Great people, pay, and bonuses.. ;0;0.0
515;515;Extra income. Occupied some evenings. Meet new people. Free drinks. Easy commute. ;0;0.0
516;516;Great culture and upper management wants to do the right thing. Performance is recognized and rewarded but may be hard to move between different organizations depending on area. ;0;0.0
517;517;Good place. Pays. Hours. Dependable. ;0;0.0
518;518;Love working here with my team. ;0;0.0
519;519;Great company to work for with excellent benefits. ;0;0.0
520;520;Salary (we call it the golden handcuffs). ;0;0.0
522;522;The company is proactive in developing new hires out of college. ;0;0.0
523;523;I enjoyed my time here. ;0;0.0
524;524;Great values and leadership, above average benefits. ;0;0.0
526;526;nice people and a good atmosphere. ;0;0.0
527;527;Good pay, less than ideal work conditions. ;0;0.0
529;529;the company has grate Benefits. ;0;0.0
530;530;Bonus is always going to be 10-12% of base with a loosely defined metric. Bonus will be similar unless one of the top performers.. ;0;0.0
532;532;The company is financially stable, you won't have to worry about them going under, the controller jobs are very secure. Decent benefits.. ;0;0.0
533;533;There is an amazing regular customer base and a few great fellow employees.. ;0;0.0
534;534;Co workers are great. Management is reasonable. ;0;0.0
535;535;Great compensation and benefits, generally work with nice people, not too demanding in terms of hours. ;0;0.0
536;536;Good people and good culture. ;0;0.0
538;538;Two worlds: employee or contractor. Depends on your personal preference of job security, time-off or wages which way to go.. ;0;0.0
543;543;Nice facility. Reasonable benefits and pay. ;0;0.0
546;546;Corporate office has everything in one place: cafeteria, doctor, dentist, Starbucks cafe. Management wants their people to move up the ladder, there are excellent retirement plans and salaries are good.. ;0;0.0
547;547;One of the few companies that still offer a pension plan and yearly bonuses. When training is made available, it is helpful.. ;0;0.0
548;548;Great pay, great benefits too. ;0;0.0
550;550;Good pay and benefits. Good team. ;0;0.0
552;552;Good atmosphere, good leadership fun time. ;0;0.0
554;554;Good teamates average benifits nothing to take home at night. Free tools and boots and uniforms. Gym on premisis. 2 weeks vacation starting if corperate union differs. ;0;0.0
556;556;"Great salary and benefits; fantastic building less than 10 years old; workout facilities, gym, running track.. ";0;0.0
558;558;Great benefits and 401k program. ;0;0.0
560;560;Competitive pay and benefits for the industry. ;0;0.0
561;561;Time management team to get the same results. ;0;0.0
562;562;Easy to work with IT in the company.. ;0;0.0
563;563;Pay is great and the bonus targets are high. ;0;0.0
564;564;Great people and work environment - lot's of ways to get involved and meet young professionals at the company. ;0;0.0
565;565;Salary is pretty good depending on your sector.. ;0;0.0
566;566;Gym, energy corridor, bonus, salary. ;0;0.0
567;567;It was a small plant.. ;0;0.0
568;568;The community feeling improved over time.. ;0;0.0
570;570;The pay and benefits overall is great. ;0;0.0
572;572;Great people to work with and for. ;0;0.0
574;574;Great company, good benefits, great. ;0;0.0
576;576;Freedom/Flexibility of the job. GoodTraining program. ;0;0.0
578;578;Chill job, not much work to do. ;0;0.0
579;579;Great Compensation, Benefits, and bonuses.. ;0;0.0
580;580;"The company puts a strong emphasis on people (""High Performing Organization"") and on the company's long-term financial success.. . Phillips 66 was the only major energy company that avoided a big round of layoffs throughout the COVID-19 Pandemic.. . The company is growing its Emerging Energy business to ensure long-term relevancy and success as the world turns away from using hydrocarbons as fuel.. ";0;0.0
581;581;Competitive package, nice co-workers, flat management structure. ;0;0.0
582;582;Great workers and good managers. ;0;0.0
583;583;Great benefits and high salaries. ;0;0.0
584;584;Corporate benefits, nice headquarters with good amenities. ;0;0.0
585;585;very nice employees and great pay. ;0;0.0
587;587;-Competitive salary to other oil companies. Lower salary than Exxon, but the yearly bonus makes up for it and I've heard the salary raises are less frequent at Exxon.. - 19/30 schedule is nice to have. - Respectful of when you want to take vacation.. - Co workers are easy to get along with.. - Lots of room to grow and be promoted if you put the time in.. ;0;0.0
588;588;Good benefits and base pay. ;0;0.0
589;589;Job Stability, Solid Talent, Benefits. ;0;0.0
590;590;good benefits, decent pay, nice HQ building, value inclusion & diversity, 19/30 program.. ;0;0.0
591;591;Stable, with little chance of lay-offs even in the worst of times. Mostly motivated coworkers.. ;0;0.0
592;592;Strong management, great compensation packages, overall solid company strategy and vision. ;0;0.0
593;593;Pay and benefits are great.. ;0;0.0
594;594;Great company to work for. ;0;0.0
595;595;Freedom to do your stuff when you need to.. Not a lot of direct supervision . Lots of rual driving. Amply overtime. ;0;0.0
598;598;Good benefits and good pay.. ;0;0.0
599;599;Great, actively recommend to friends. ;0;0.0
600;600;Great pay, great benefits, 12 week paid maternity leave, 10 holidays/year, 19/30 day each month, bonus each year. ;0;0.0
601;601;- good pay and benefits are nice. ;0;0.0
602;602;High salary with good benefits. ;0;0.0
603;603;Love it please keep it up.. ;0;0.0
604;604;Cost of living to salary ratio very good for area.. ;0;0.0
605;605;Great culture, pay and benefits. ;0;0.0
606;606;Good pay, 19/30 vacations, etc. ;0;0.0
607;607;There are rare unicorns sprinkled throughout the organization that make the day to day bearable. Until you or they get hip and move on.. ;0;0.0
608;608;As a union employee, you have job security.. ;0;0.0
609;609;Awesome pay, great company history, great employees to work with. ;0;0.0
611;611;Honestly there was not even one. ;0;0.0
613;613;Nice company and good work environment. ;0;0.0
614;614;Good compensation and retirement benefits. Supportive work environment. ;0;0.0
615;615;The only pro is the salary. ;0;0.0
616;616;Adequate pay, lean teams allow one to work in a variety of groups. ;0;0.0
617;617;Great experience to learn for recent experience. ;0;0.0
618;618;Good pay, steady hours, nice breaks. ;0;0.0
619;619;The benefits are great compared to many of companies. ;0;0.0
621;621;401k match, pension, medical, profit sharing, RSU, HSA, bonus. ;0;0.0
622;622;Good to work for them. ;0;0.0
623;623;Actively promotes inclusion and diversity. ;0;0.0
624;624;Forefront thinking when it comes to sustainability and renewable energy! Immense work being done to define culture/accountability and promote inclusion and diversity. Feel very lucky to work here!. ;0;0.0
625;625;nan;0;0.0
626;626;Big racks on the job. ;0;0.0
628;628;Great Salary, Awesome benefits all around. ;0;0.0
630;630;Compensation and benefits are competitive.. ;0;0.0
631;631;good pay and benefits, access to management. ;0;0.0
632;632;Good pay and good location. ;0;0.0
