;Id;text;G_naive;G
129;129;If you want to work only for money, it is good place. But even now you will earn less. ;0;0.0
130;130;Pension, Salary, Benefits are all great People that are some of the best and kindest folks. They're the reason I stayed so long.. ;0;0.0
131;131;Not hard work or long hours as long as everyone else do like they should. ;0;0.0
132;132;friendly work space fast paced work environment. ;0;0.0
135;135;Good training and benefits for early career. ;0;0.0
138;138;great company to work for. ;0;0.0
140;140;Good overall benefits: pension, 401k with 7 matching, education refund, medical insurance, product discount (gas 8%), restricted stock after certain classification level.. ;0;0.0
143;143;Dynamic, interesting work with great people. Good mix of field and office work. Good salary. Decent work life balance. Good opportunity for advancement. ;0;0.0
144;144;Business class travel, salary for Houston, good campus, gas discounts. Good for experience after school. ;0;0.0
145;145;The customers are the only good part and that’s saying something.. ;0;0.0
146;146;Colleagues are wonderful, work rotation can keep you engaged. Diverse work force.. ;0;0.0
147;147;Well-known brand, work-life balance, resume builder. ;0;0.0
148;148;Benefits, maternity leave, work life balance. ;0;0.0
150;150;Amazing benefits and career development opportunities.. ;0;0.0
151;151;"Diverse career opportunities, coworkers are amazing; great work-life balance. ";0;0.0
153;153;Nothing at this point imho. They pride themselves in being superior but I really doubt it! I just find them obnoxious and loud!. ;0;0.0
154;154;- Benefits (Health Care, 401k, etc) - Low technical performance expectations - Easy to keep employment. ;0;0.0
155;155;Great people, international company with lots of opportunity, travel and expat opportunities, impressive company operations and prestige, good work life balance. ;0;0.0
156;156;Provides lot of opportunities to work in different areas. ;0;0.0
157;157;Really Smart Coworkers Interesting Projects Good compensation and benefits. ;0;0.0
159;159;Great people to work with. ;0;0.0
161;161;Good starting salary and opportunities to live in various countries around the world.. ;0;0.0
162;162;Good Company, Good Culture, Good People. ;0;0.0
163;163;The environment encourages continuous learning. Challenging to develop projects yet rewarding when they are executed. ;0;0.0
164;164;Long established business and work processes. ;0;0.0
165;165;The myriad of benefits are excellent.. ;0;0.0
167;167;Good team members to work with. ;0;0.0
172;172;Decent benefits before covid and strong environment for mentorship. Name brand recognition on resume.. ;0;0.0
173;173;Great place, great coworkers, awesome manager.. ;0;0.0
174;174;alot of good people, learn and grow in the company. ;0;0.0
175;175;money only, possible retirement? benefits. ;0;0.0
176;176;Offers moving package when they force you to transfer. ;0;0.0
177;177;Work life balance is usually pretty good. ;0;0.0
178;178;Diversity of people Campus location pension flexible work hours Wellness Center. ;0;0.0
179;179;Salary, well until you flatten out. ;0;0.0
180;180;ExxonMobil still offers their employees a pension. ;0;0.0
182;182;Nice people at my site. ;0;0.0
183;183;Solid Benefits, Large company so many opportunities available, work with some cool people.. ;0;0.0
184;184;This company has Great Benefits!!. ;0;0.0
185;185;Great people to work with, easy going, everyone works together. ;0;0.0
186;186;Looming Pension still stands but for how much longer.. No one knows!. ;0;0.0
188;188;Benefits, compensation, variations of jobs. ;0;0.0
190;190;Able to get resume building exposure to global work in a many arenas. Best time is years 1-3 and then get out and move on. No longer a career staying place.. ;0;0.0
193;193;The 3 to 1 college donation match was really nice, but it’s been removed, hopefully they’ll bring it back.. ;0;0.0
194;194;There are no pros working here. (Beaumont). ;0;0.0
196;196;Complex, impactful, real-world problems with major implications. ;0;0.0
197;197;Lots of fun projects to work on.. ;0;0.0
198;198;Benefits: Health, dental, medical, stock options, salary. ;0;0.0
201;201;Overall the work and people are great. ;0;0.0
202;202;medical, dental, vacation, pension, 401k, education reimbursement. ;0;0.0
203;203;rate of professional growth is very high. ;0;0.0
204;204;There are no pros of working at BlueSky Exxon.. ;0;0.0
205;205;Good opportunity for mobility in the same function across the different organizations and occasionally outside your function.. ;0;0.0
206;206;Large international company Wide range of career options. ;0;0.0
207;207;- Benefits - Parental Leave (6 weeks within 1 year) - Pension. ;0;0.0
208;208;Lots of Kool-Aid to drink. ;0;0.0
209;209;nan;0;0.0
211;211;Enjoyed the projects group that I was in.. ;0;0.0
212;212;Safety comes first, Nobody Gets Hurt is a real, achievable goal in the Company. ;0;0.0
213;213;nan;0;0.0
214;214;Benefits can be somewhat high. ;0;0.0
215;215;Work life balance and brilliant colleagues. ;0;0.0
217;217;-Benefits (pre-covid) -Pension -Work life balance if you establish that boundary early -Safety as a priority. ;0;0.0
218;218;Good people to work with. ;0;0.0
220;220;Its a great company to work for. If you are dedicated and passionate about your job hen you will succeed!. ;0;0.0
222;222;nan;0;0.0
223;223;Very smart people, good benefits. ;0;0.0
225;225;Promotes from within via very structured process. ;0;0.0
226;226;High salary relative to other Analytical Chemists.. ;0;0.0
228;228;room for growth. good work teams. ;0;0.0
229;229;Staff and customers are friendly and helpful. Also very understanding when their workers are having issues in their home life.. ;0;0.0
230;230;Great company with a lot of opportunity for growth.. ;0;0.0
231;231;Great Medical Benefits (includes eye & dental). ;0;0.0
233;233;Great salary and Benefits starting off. ;0;0.0
234;234;Collaborative, highly talented peole, safety focused. ;0;0.0
235;235;Smart people- but most have left. ;0;0.0
236;236;Great work environment Great benefits Pretty good work/life balance. ;0;0.0
238;238;Lots of OT to work. ;0;0.0
240;240;Pension, PPTO, 401k match, base salary, company phone.. ;0;0.0
241;241;hands-off culture, lots of autonomy. ;0;0.0
242;242;Decent compensation,benefits, wlb,but nothing compared to the past. ;0;0.0
243;243;Major in the Energy Sector. ;0;0.0
244;244;- Great people - Interesting work - Overall, good benefits. ;0;0.0
245;245;nan;0;0.0
246;246;team-oriented work environment and positive career development opportunities. ;0;0.0
248;248;Work with amazing and dedicated people. Good benefits and compensation. Dedicated to safety.. ;0;0.0
249;249;Good benefits and work place flexibility. ;0;0.0
250;250;Lots of great people to work with that really care to make the world better. ;0;0.0
251;251;Great Compensation and Benefits. Wonderful people and challenging work.. ;0;0.0
252;252;Opportunity to work on large projects with people from all over the world. Travel often allows stays in 4 star hotels and generous food allowance. Any corporate department that you can imagine that any large company and sometimes a person can move into that department if your manager supports you. Varied assignments during your career. The company has the potential to make a lot of money as the price of oil rises and some of that money may return to employees in higher raises and increased training opportunities.. ;0;0.0
253;253;Quality of staffing Work atmosphere. ;0;0.0
254;254;They have great health benefits.. ;0;0.0
255;255;Working with a great team is the key factor to make all projects successful. Everyone that I worked with was very willing to support one an other. State of the Art Technology, and user friendly.. ;0;0.0
256;256;salary is good until you get old. ;0;0.0
257;257;Great people to work together. Good life-work balance. Food is great at the cafes :). ;0;0.0
258;258;Money and compensation package is nice. ;0;0.0
259;259;Benefit plan such as medical. ;0;0.0
260;260;Paid on time, beautiful campus.. ;0;0.0
262;262;Salary, generally good colleagues, travel (before covid). ;0;0.0
263;263;Nice offices, Ergonomic programs, Stablished processes. ;0;0.0
265;265;Great people atmosphere within groups. ;0;0.0
269;269;Great company to work for. ;0;0.0
272;272;all good within the company. ;0;0.0
273;273;If you can make it to retirement the pension can be very lucrative. ;0;0.0
274;274;Convenient hours and consistent schedule. ;0;0.0
276;276;Work-life balance, great people to work with. ;0;0.0
278;278;Great colleagues, interesting work, benefits before being cut. ;0;0.0
279;279;Very nice campus, great mentors, great training.. ;0;0.0
281;281;Great benefits and flexible schedule. ;0;0.0
283;283;Feels like a family overall.. ;0;0.0
284;284;Offers you the ideal environment to progress your career, attractive benefits and excellent training. ;0;0.0
285;285;Test test test test test. ;0;0.0
288;288;Internship was kept during the pandemic.. ;0;0.0
290;290;People, hours, place, flexibility, you are on your own. ;0;0.0
292;292;Great starting salary, very dynamic job.. ;0;0.0
293;293;Good people with high integrity and progressive culture. ;0;0.0
295;295;Good salary and benefits consistently. ;0;0.0
296;296;Company used to have strong financial discipline with world-class technical abilities. ;0;0.0
297;297;nan;0;0.0
298;298;Meritocracy, driven by performance, opportunities to advance upon good performance. ;0;0.0
299;299;"Great Contracting/Negotiation Exposure; large responsibility out of school. ";0;0.0
300;300;Good to start your professional life here.. ;0;0.0
301;301;Still has some financial clout. ;0;0.0
302;302;"Challenging problems to solve; research opportunities; expat assignments. ";0;0.0
303;303;Some of the people there. ;0;0.0
304;304;Engineering company, consistent, tries to develop talent internally. ;0;0.0
305;305;Not too many pros so I have none too mention. ;0;0.0
307;307;Intelligent, competent individual contributors. Good compensation relative to job duties.. ;0;0.0
310;310;Good company to work for.. ;0;0.0
311;311;Great people form all different backgrounds.. ;0;0.0
312;312;Friendly community, kind people, clean store.. ;0;0.0
313;313;Salary, training opportunities ( LIMITED but very unique). ;0;0.0
317;317;Very interesting place to work and fast paced. ;0;0.0
318;318;Salary and work life balance. ;0;0.0
320;320;Average compensation, just an average or below average mediocre company. ;0;0.0
323;323;Good and progressing. Not much to say. ;0;0.0
324;324;*Tough, engaging work *Good coworkers who are willing to lend a helping hand *Internal resources. ;0;0.0
325;325;Great people to work with on the technical level. ;0;0.0
326;326;Good company to work for. ;0;0.0
327;327;Ethical, many types of roles, smart people. ;0;0.0
328;328;Good benefits, training plan, career path.. ;0;0.0
329;329;Flexible career path, well paid, good environment. ;0;0.0
330;330;Nice stepping to bigger position. ;0;0.0
333;333;Opportunities, training, salary, assignments, co-workers. ;0;0.0
334;334;Good teammates, nice ergo benefits. ;0;0.0
335;335;"Global footprint; lots of opportunities. ";0;0.0
336;336;Great base salary and compensation with the opportunity to work across multiple functions.. ;0;0.0
337;337;Nice people and the work was challenging. Also benefits and vacation a plus.. ;0;0.0
338;338;nan;0;0.0
340;340;"Talented coworkers; ability to work on interesting global projects. ";0;0.0
341;341;Great interesting work, great people, and great environment outside of troubled times if you fit the company type.. ;0;0.0
342;342;Good experience with diverse workforce. ;0;0.0
343;343;Good Salary, Excellent exposer, worldwide operation. ;0;0.0
346;346;Good global exposure and concrete results.. ;0;0.0
347;347;Great workplace flexibility and enjoyable work atmosphere. Short role assignments (1-3 years) allow for new experiences and career growth.. ;0;0.0
348;348;Global community, large scale projects. ;0;0.0
349;349;Good benefits. good wlb. good career opportunities.. ;0;0.0
351;351;"Good place to work; offer work-life balance. ";0;0.0
352;352;Great starting salary, work with some incredibly bright individuals, ability to work on high dollar projects that very few companies would allow someone with little experience to lead.. ;0;0.0
353;353;Did not seem to bad. ;0;0.0
354;354;Excellent colleagues, huge positive impact on society. ;0;0.0
356;356;The ability to work from home is very positive.. ;0;0.0
359;359;Great working people, great salary, great benefits. ;0;0.0
360;360;Generally enough capital to maintain a consistent slate of projects.. ;0;0.0
361;361;Easy work and overpaid to do it.. ;0;0.0
362;362;High quality researchers and cutting edge science. ;0;0.0
363;363;good, good, good, good, good. ;0;0.0
365;365;Potential to work internationally due to global reach.. ;0;0.0
366;366;Great to work for eberyday. ;0;0.0
369;369;Work environment is excellent and positive. ;0;0.0
371;371;Training, salary, overseas assignments, coworkers. ;0;0.0
373;373;opportunity to work on large equipment. ;0;0.0
375;375;Some really good benefits and chances to do things not common to my career field.. ;0;0.0
376;376;steady, secure, great co-workers, good training. ;0;0.0
378;378;Great people, opportunity to work in a global environment, multiple cultures. ;0;0.0
379;379;Experience, autonomy, salary, benefits, coworkers. ;0;0.0
381;381;Great experience with unique and interesting career paths.. ;0;0.0
382;382;Flexible Work Environment, Safety, Co-workers. ;0;0.0
383;383;Career advancement. Work environment. Expertise. Capabilities. ;0;0.0
384;384;Location, people, scale, science, campus. ;0;0.0
385;385;Handled layoffs terribly. The company does not care about its people.. ;0;0.0
389;389;There are new hire organizations. ;0;0.0
390;390;Smart people, workplace flex, training opportunity (has since been removed). ;0;0.0
391;391;Lots of really good people. ;0;0.0
392;392;Large company, great benefits, nice campus. ;0;0.0
393;393;Plenty of opportunities across the corporation global benefits. ;0;0.0
396;396;Lots of great experiences for career advancement. ;0;0.0
397;397;A challenging environment where exciting things always happen .. ;0;0.0
398;398;good in terms of salary. ;0;0.0
399;399;Good benefits and base salary, good place to grow if you are willing to put in the time. ;0;0.0
400;400;Good salary Potential for career development Beautiful campus & amenities. ;0;0.0
401;401;Financial compensation, caliber of employees, global scale and opportunities for development.. ;0;0.0
402;402;Lots to learn, high quality work. ;0;0.0
403;403;Electrical Distribution, Domestic and Water distribution Steam PLant wide, Utilities Unit experience as well as Planning.. ;0;0.0
404;404;Great learning experience with diversity.. ;0;0.0
406;406;Good experience, upside for high performers. ;0;0.0
407;407;-Great training -If you're an engineer, you'll get to use your schooling -High starting salary. ;0;0.0
411;411;High salary, intelligent colleagues, global company. ;0;0.0
412;412;Strong emphasis on professional career development, excellent opportunities for professional growth. Very ethical company, good compensation. ;0;0.0
413;413;Great talented people across the world. ;0;0.0
415;415;A chance to work large scale projects (just at a pace which will constantly require you to choose between your work and family, health and happiness). ;0;0.0
416;416;Lots of career latitude with very smart people. ;0;0.0
417;417;good experience good experience good experience. ;0;0.0
418;418;The only pro to working here is they still provide a pension. Other than that I would work for any other refinery.. ;0;0.0
419;419;Quality people, stimulating work, great compensation. ;0;0.0
420;420;the company had good benefits. ;0;0.0
421;421;Best company to work in. ;0;0.0
422;422;Easy to learn, pretty slow, and pretty much the same customers every shift. ;0;0.0
423;423;In general it is good. ;0;0.0
424;424;Unique challenges, high level of responsibility early in career. ;0;0.0
425;425;Good salary, good benefits, work life balance good. ;0;0.0
427;427;Excellent benefits and volunteer opportunities to help others.. ;0;0.0
430;430;Excellent benefits, opportunities, diversity, encouragement. ;0;0.0
431;431;Culture changing from more conservative to modern company. ;0;0.0
432;432;- Ability to rotate through assignments throughout your career - Multinational company with exposure across the world - Very fancy campus and great focus on ergonomic safety - Great benefits, and a pension!. ;0;0.0
435;435;nan;0;0.0
436;436;Tough but good work, Many good people, most in the upper levels of capability in their field Good compensation package if you include the defined benefits pension - not sure it will stay though Demanding on employees but provide substantial support in the event of serious illness or injury. ;0;0.0
437;437;A select few great team members to work with. ;0;0.0
439;439;Easy Work, Flexible Hours, Nice Customers. ;0;0.0
440;440;Facilities. The technical expertise of peers.. ;0;0.0
441;441;Excellent global presence offering great positions. ;0;0.0
442;442;Good opportunity to see different projects. ;0;0.0
443;443;Great, nice, super, ultra, Gigante, company. ;0;0.0
444;444;Pension plan. Great health and dental benefits. ;0;0.0
445;445;"Usefulness and communication of processes, don;t have to reinvent the wheel. ";0;0.0
446;446;Global Experience, Team Collaboration, Flexibility, Varied Opportunities. ;0;0.0
447;447;career opportunities and ability to move around. ;0;0.0
449;449;Lots of talented employees, diverse workforce, discipline and data driven, global, many opportunities to grow. ;0;0.0
451;451;Interesting work and a lot of resources. Helpful team environment. ;0;0.0
453;453;Excellent benefits Good coworkers, driven to succeed Treats employees with respect and dignity. ;0;0.0
454;454;Good environment to work in.. ;0;0.0
455;455;friendly co-workers, flexible work hours. ;0;0.0
456;456;Some free time when not busy. Good for studying if you work closing shifts and are in university.. ;0;0.0
458;458;Well rounded company with multiple career options going in. ;0;0.0
459;459;Great co workers who care about you. ;0;0.0
460;460;There were no pros as it relates to this company. ;0;0.0
461;461;nan;0;0.0
464;464;Top notch colleagues, excellent benefits package. ;0;0.0
466;466;Great work / life balance, 401K match, great teamwork atmosphere. ;0;0.0
467;467;Driven workforce Good opportunities to develop. ;0;0.0
469;469;Unbelievable opportunities to grow your career both fiscally and geographically.. ;0;0.0
470;470;What a good good place. ;0;0.0
471;471;Money is good for work. ;0;0.0
474;474;Good remuneration and work life balance. ;0;0.0
475;475;Upward mobility - My contributions are valued. ;0;0.0
477;477;good place to work and fun. ;0;0.0
478;478;Good people. Good benefits. Good work content. ;0;0.0
479;479;ing conditions, work with the best of the best. ;0;0.0
481;481;They are a great company.. ;0;0.0
482;482;Good benefits, 401k match, and smart people. ;0;0.0
483;483;Vast technical opportunities across multiple industries. ;0;0.0
484;484;People are amazing, really cool experiences, constant role movement and career growth. ;0;0.0
486;486;Great company with lots of career paths. ;0;0.0
487;487;Good work life balance for sure. ;0;0.0
488;488;Opportunity for a wide range of roles in a career. Great people. ;0;0.0
491;491;Work as early as you want. ;0;0.0
493;493;Sadly all the former pros are gone. There was a time I loved my job. Those days are past.. ;0;0.0
495;495;One of the top Pat companies. ;0;0.0
496;496;Great compensation, great benefits, and you work with incredible people. ;0;0.0
497;497;Work with extremely intelligent and motivated co-workers Most individuals tend to be good to work with and helpful Benefits Branding Training. ;0;0.0
500;500;Nice work life balance . And good perks. ;0;0.0
502;502;Fantastic workplace atmosphere, everyone is very kind and willing to help.. ;0;0.0
505;505;Great benefits, paid for annual certification training, pension, relaxed atmosphere. ;0;0.0
506;506;Money, people, experience, technical work, food. ;0;0.0
507;507;Great company, great people. They take care of their people well.. ;0;0.0
508;508;Good benefits, good leadership, engaging work. ;0;0.0
510;510;Great company. Good Benefits. Good Work Life.. ;0;0.0
512;512;Helped you learn with mentors for summer project.. ;0;0.0
515;515;Extra income. Occupied some evenings. Meet new people. Free drinks. Easy commute. ;0;0.0
518;518;Love working here with my team. ;0;0.0
519;519;Great company to work for with excellent benefits. ;0;0.0
520;520;Salary (we call it the golden handcuffs). ;0;0.0
521;521;Work life balance, Benefits, Compensation, coworkers. ;0;0.0
522;522;The company is proactive in developing new hires out of college. ;0;0.0
523;523;I enjoyed my time here. ;0;0.0
524;524;Great values and leadership, above average benefits. ;0;0.0
525;525;Great benefits/offer package and excellent safety culture.. ;0;0.0
526;526;nice people and a good atmosphere. ;0;0.0
529;529;the company has grate Benefits. ;0;0.0
530;530;Bonus is always going to be 10-12% of base with a loosely defined metric. Bonus will be similar unless one of the top performers.. ;0;0.0
531;531;High salary, good benefits, and opportunity to grow.. ;0;0.0
533;533;There is an amazing regular customer base and a few great fellow employees.. ;0;0.0
535;535;Great compensation and benefits, generally work with nice people, not too demanding in terms of hours. ;0;0.0
536;536;Good people and good culture. ;0;0.0
538;538;Two worlds: employee or contractor. Depends on your personal preference of job security, time-off or wages which way to go.. ;0;0.0
539;539;Opportunities to work many hours and assist in other areas. Mostly a great team with positive attitudes.. ;0;0.0
541;541;Good opportunities, bright people, beautiful building. ;0;0.0
542;542;Salary, flexibility, opportunities, benefits, vacation, sick time, advancement, great place to make lifelong friends and connections. ;0;0.0
544;544;Family like environment. Big company, lots of opportunities. Relatively low stress depending on role but a leading energy provider for much of the US.. ;0;0.0
547;547;One of the few companies that still offer a pension plan and yearly bonuses. When training is made available, it is helpful.. ;0;0.0
549;549;not constant heavy labor so it helps injuries heal better, . you get to understand why nicotine is so bad. ;0;0.0
551;551;Benefits are top tier . Bonuses are based off of company performance usually over 110%. Schedule Flexibility and work like balance is the best I’ve ever had. Safety. ;0;0.0
552;552;Good atmosphere, good leadership fun time. ;0;0.0
553;553;Lots of training opportunities, good benefits, people are nice, work is interesting. Phillips 66 cares about nurturing it's young people.. ;0;0.0
554;554;Good teamates average benifits nothing to take home at night. Free tools and boots and uniforms. Gym on premisis. 2 weeks vacation starting if corperate union differs. ;0;0.0
556;556;"Great salary and benefits; fantastic building less than 10 years old; workout facilities, gym, running track.. ";0;0.0
557;557;Tremendous culture of working together. Many people start their careers here and stay with the company forever.. ;0;0.0
558;558;Great benefits and 401k program. ;0;0.0
562;562;Easy to work with IT in the company.. ;0;0.0
564;564;Great people and work environment - lot's of ways to get involved and meet young professionals at the company. ;0;0.0
565;565;Salary is pretty good depending on your sector.. ;0;0.0
566;566;Gym, energy corridor, bonus, salary. ;0;0.0
567;567;It was a small plant.. ;0;0.0
568;568;The community feeling improved over time.. ;0;0.0
569;569;Opportunity for movement. Salary. I&D & employee involvement. ;0;0.0
572;572;Great people to work with and for. ;0;0.0
573;573;Great people, even better benefits and opportunities for advancement and to change roles if desired. ;0;0.0
574;574;Great company, good benefits, great. ;0;0.0
575;575;Culture is built around safety.. ;0;0.0
576;576;Freedom/Flexibility of the job. GoodTraining program. ;0;0.0
578;578;Chill job, not much work to do. ;0;0.0
579;579;Great Compensation, Benefits, and bonuses.. ;0;0.0
580;580;"The company puts a strong emphasis on people (""High Performing Organization"") and on the company's long-term financial success.. . Phillips 66 was the only major energy company that avoided a big round of layoffs throughout the COVID-19 Pandemic.. . The company is growing its Emerging Energy business to ensure long-term relevancy and success as the world turns away from using hydrocarbons as fuel.. ";0;0.0
582;582;Great workers and good managers. ;0;0.0
583;583;Great benefits and high salaries. ;0;0.0
584;584;Corporate benefits, nice headquarters with good amenities. ;0;0.0
586;586;Excellent company, great benefits, great opportunities. ;0;0.0
594;594;Great company to work for. ;0;0.0
595;595;Freedom to do your stuff when you need to.. Not a lot of direct supervision . Lots of rual driving. Amply overtime. ;0;0.0
596;596;Great place to work. Great environment for collaboration . Great benefits . Good amenities . Centrally located. ;0;0.0
599;599;Great, actively recommend to friends. ;0;0.0
602;602;High salary with good benefits. ;0;0.0
603;603;Love it please keep it up.. ;0;0.0
604;604;Cost of living to salary ratio very good for area.. ;0;0.0
607;607;There are rare unicorns sprinkled throughout the organization that make the day to day bearable. Until you or they get hip and move on.. ;0;0.0
608;608;As a union employee, you have job security.. ;0;0.0
610;610;Compensation is unparalleled for high performers . Work for greater good, collaborative environment.. Unrivaled job security in refining industry. ;0;0.0
611;611;Honestly there was not even one. ;0;0.0
612;612;Phillips 66 is a large company with lots of opportunities within the organization. They are big on developing and promoting from within. They are really pushing innovation as well as I&D.. ;0;0.0
613;613;Nice company and good work environment. ;0;0.0
614;614;Good compensation and retirement benefits. Supportive work environment. ;0;0.0
615;615;The only pro is the salary. ;0;0.0
617;617;Great experience to learn for recent experience. ;0;0.0
619;619;The benefits are great compared to many of companies. ;0;0.0
621;621;401k match, pension, medical, profit sharing, RSU, HSA, bonus. ;0;0.0
622;622;Good to work for them. ;0;0.0
