date;employee_title;employee_status;review_title;pros;cons
2021-09-03;Financial Controller;Current Employee, less than 1 year;Good company to work for;"Great salary, great compensation and opportunities to learn
";"A lot of middle managers which create a significant delay in actions
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-07;Process Technician;Former Employee, more than 1 year;Dont let the money fool you;"good money, plenty of hours
";"bad environment, lack of support, no career progression, good old boy club, expensive health care
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-09-16;Global Advisor;Current Employee, more than 3 years;ExxonMobil;"Competitive pay, resources, benefits, and coworkers.
";"Senior management vision is not clear. Much time wasted on non-value added work.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-16;IT Advisory;Current Employee;Stability… for me at least;"Good pay, good benefits and some flexibility
";"Outdated management mentalities. Slow moving and slow to change. Cutthroat environment and ranking system with biased promotions.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-16;Production Advisor;Current Employee, more than 10 years;Resume review;"Broad set of opportunities; high level coworkers; high impact projects
";"Large company that strongly resists change even for the better; functional organization that prioritizes local excellence over organizational excellence
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-01;Business Office Manager;Current Employee;Good Company;"Company with good benefits to offer.
";"Company is making changes due to the effect of covid.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-01;Analyst;Current Employee;Good Company with Great Benefits for Families;"- Great benefits for families - Good overall compensation package - Many opportunities for learning
";"- Compensation program lacks transparency - Compensation Competitiveness
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-01;Field Support Technician;Former Employee;N\A;"Good company to work at.
";"Not applicable and not applicable
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-15;Process Engineer;Current Employee;Hard but rewarding;"Quick learning environment, friendly coworkers
";"Stressful, long hours, at times don’t feel like your work matters
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-14;Manager;Former Employee;Good money, tough culture;"Salary, benefits, smart people, good colleagues
";"Rigid, inflexible, old school mentality, arrogant senior management set on staying the course
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-04;Legal Counsel;Current Employee;Ugh;"abundance of high-end legal work
";"no transparency in performance evaluation/promotions/pay; attrition is getting out of control with little response from management; pay is below energy market except for select few (i.e., management and 'favorites')
Verify your email to continue reading or Resend email
2 people found this review helpful
Helpful
Share
Repor"
2021-10-02;Advisor;Current Employee, more than 10 years;Poorly Managed - Lagging in Pay and Benefits;"Large and exciting projects to execute across the globe.
";"Corporation is ran out of Dallas, far from the actual work, who has turned a deaf ear to Houston. As a result, pay lags other project organizations, yearly performance system is being used to manage masked layoffs, and the corporation often feels at best, leaderless; at worst, intentionally anti-employee.
Verify your email to continue reading or Resend email
4 people found this review helpful
Helpful
Share
Repor"
2021-10-04;Gas Station Attendant;Former Employee, less than 1 year;Job is not worth the paper the application is printed on;"Ability to meet a diverse range of people.
";"Absolutely no adequate training was given. Lack of management. Inadequate pay for job responsibilities.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-09-13;Drilling Supervisor;Current Employee;Too much change;"Good benefits, still offer a pension.
";"Too many changes to the way they manage their people. No longer feel like they value their employees.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-13;Mechanical Engineer;Current Employee, more than 1 year;Busy Busy;"There is a whole lot to learn .
";"You'll be so busy , your head will spin .
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-08;Engineer;Current Employee, more than 8 years;bad company overall;"salary is not bad at all
";"ranking system is very bad
2 people found this review helpful
Helpful
Share
Repor"
2021-09-10;Project Manager;Former Employee;Opportunity rich, Culture poor;"Size, salary and benefits, opportunities, safety culture
";"Corporate culture (communications were poor and demotivated workforce), not agile or flexible, stressful environment, poor workplace flexibility (no work from home even if job would accommodate).
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-26;Ethylene Field Operator;Current Employee;Great place to start & finish your career;"Great pay, great benefits, great coworkers, and pension
";"Too much micro Management and lack of training
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-26;P2P Analyst;Former Employee, more than 5 years;Great place to work;"Opportunities for growth and many learning opportunities Great people Networking Flexibility
";"Intercompany communication can be improved.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-23;Manager;Current Employee;Great company;"The benefits are great !
";"The work can be redundant
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-03;Lead Engineer;Current Employee;Steady but lagging;"Top-caliber co-workers and very interesting opportunities. Compensation is fair and (until recently) my job felt extremely secure, as long as I performed satisfactorily.
";"ExxonMobil has never been a leader in the areas of work culture and more “progressive” benefits (work/life balance, soft benefits, etc), but they made up for it with the comfort of long term job security. With last year’s layoffs, this comfort has been damaged, and the company now has some catching up to do in the areas of benefits and day-to-day employee satisfaction if it wants to continue to attract and retain the highest caliber employees, as it has in the past.
Verify your email to continue reading or Resend email
8 people found this review helpful
Helpful
Share
Repor"
2021-09-07;Software Engineer;Current Employee;Software Development Jobs Different from Tech Industry;"Good work life balance Lots of long-term benefits
";"Not much support for Software developers
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-01;Chemical Engineer;Former Employee;Became an unmotivating place to work after COVID-19;"Above average salary Smart, friendly coworkers Insurance benefits Retirement and pension
";"Non-transparent leadership. Politics, general bureaucracy continue to trump culture change attempts and ranking. Ranking relative to peers - so there will always be someone in the bottom to fire no matter how talented/hard working they are. Ranking system focused on number of worklist items completed and not taking into account intangible impacts like mentoring, taking initiative to step up to fill gaps for advising, creating/maintaining strong teams and a positive culture. Supervisors resist real change despite being advocates for culture change. Culture change driven from top down and formed to suit leadership although presented to satisfy the majority of the workforce. Company struggles to remedy low moral after COVID-19; 401k match paused and sizeable firings disguised as headcount studies and performance rankings. Company leadership has directly replied to the workforce that they should be happy and thankful they still have a job when asked what the leadership's plan was to resolve low morale and restore the elements that attract and retain employees. Only 2 weeks vacation for new hires, do not get 3rd week until 5 years of service (they do honor previous employment).
Verify your email to continue reading or Resend email
2 people found this review helpful
Helpful
Share
Repor"
2021-08-19;Process Engineer;Current Employee;N/A;"Great career options for engineers
";"Career options can be limited geographically
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-24;IT Manager;Current Employee;Pathetic company;"Nice infrastructure with decent technology equipment
";"Don’t value its employees. Performance assessment system mediocre.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-08-20;Project Manager;Current Employee;Am I blind?;"Focus on employee development Strong project portfolio Metrics demonstrate strong performance in coming out of the downturn
";"Internal messaging requires improvement Empathetic leaders need to be more visible (they do exist)
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-20;Project Engineer;Current Employee;Beast of a Company;"Challenging work, international opportunities, high reward
";"Inflexible, old school, seniority matters more than talent/skill, don’t embrace change
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-31;Project Engineer;Current Employee, more than 3 years;Look elsewhere;"Very few pros. Used to be a great company to work for. Culture has decayed.
";"Culture has decayed. No longer the company of choice.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-09-03;Technology Lead;Current Employee, more than 10 years;Good benefits even in this day and age;"Benefits, Training for young people, Diversity of people, Diversity of jobs
";"Middle management (Too many, too political); no team work (everyone works for himself/herself, including all levels of management)
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-19;Supply Chain Coordinator;Former Employee, more than 1 year;Escape while you can!;"- Some peers make this place bearable through trauma bonding - The campus is beautiful and you can take froyo breaks - If you are lucky enough to be at one of the Houston sites, you do not have state income tax - You get to learn if you like oil, gas, & chemicals or not
";"- The worst management (including supervisors) gets promoted & many are micromanagers - Upper management has selective hearing when it comes to feedback - Some sites (Beaumont and Baton Rouge) are worse than living in Chernobyl - All the diverse and friendly people leave within the first couple of years - Executives like pocketing more money for themselves while lower level employees face minimal salary raises (if we get salary raises) - Lack of transparency across the board (i.e. we learn of salary freezes, 401k cuts, layoffs, etc. through news outlets) - The younger generation knows this industry is not sustainable and views Exxon as the most evil compared to its peers - Communications on serious issues (i.e. COVID, BLM, Anti-Asian rhetoric) are purely reactive and are put out there as a response to employee dissatisfaction - Working from home for non-essential roles was not an option, even as peers contracted COVID-19. The company's scapegoat was ""they likely were exposed during their lunch break"" since the exposure could not be ""proven"" to occur during the 12-person meeting in the conference room (note this was before vaccines were rolled out). - Everything is an ""emergency"" in the eyes of management and they will drain your energy preparing for minute issues - Overall lack of diversity that will continue to propagate discriminatory behavior and microaggressions throughout the company - ""This is the way we've always done it, so we will continue doing everything this way"" will get you rewarded rather than challenging the status quo - The CEO and other executives only care about shareholders, never the individual contributors - Town Halls will actively censor messages and questions - ""Management's hands are tied"" is the excuse that is communicated for everything - Roles will continue to be outsourced abroad to save costs, despite the additional complications with timely communications - Management will not admit that they a culture revamp to retain talent - Talent is escaping to industries that better value their employees (i.e. Tech & Consulting), but Exxon will not enhance their benefits package accordingly - Only Chemical Engineering degrees are truly valued in the company. This is a not-so-secret expectation on how to quickly accelerate your career here. - Sustainability initiatives are minimal - In order to be successful, you are required to follow a traditional career path through manufacturing roles - If you do something bad, supervisors will not support you. If you do something good, supervisors will take credit for the work you did. - The expectation is that you need to respond within 24 hours if someone needs you while on vacation - The cultural issues stem throughout the entire company! Not only within one function (i.e. chemicals vs. upstream or supply chain vs. technical) - A supervisor once told me ""the people who do well here take ownership,"" which is ironic considering that the company as a whole has not been taking ownership over its poor culture that has caused top talent to apply elsewhere.
Verify your email to continue reading or Resend email
11 people found this review helpful
Helpful
Share
Repor"
2021-08-26;Law Department;Current Employee, more than 8 years;Limited growth opportunity and rigorous competitive ranking system for all professionals;"Good place for experience. Lots of good co-workers. Very diverse and woke culture. Benefits are not excellent like they used to be but are still ok. Good place to be from. Looks great on a resume.
";"Opportunities for promotion are limited except for the top 20% of the rank group. Forced, competitive ranking for all professionals, while system is made to look objective is remains highly subject to preferential assignment opportunities, and subjective ranking largely influenced by whether you're in favor with the ranking management. Talent, hard work, amount of work product, quality of work, are not the main determinants of success. Sadly, having the ""right"" corporate appearance and image carry more weight in long-term success than technical or professional skills and production. For most employees, raises are mere cost of living adjustments. The few in the top get the vast lions share of promotions and advancement. The lower half of the rank group will get virtually nothing annually and maybe a one percent raise every 18 months to two years. Notwithstanding the fact that everyone they hire is an academic and professional standout just to get hired in the first place. The company is a morale killer. Stock has not performed and has lost value for over ten years running. The company is in decline.
Verify your email to continue reading or Resend email
5 people found this review helpful
Helpful
Share
Repor"
2021-08-16;Environmental Engineer;Current Employee;young engineer @ exxon;"-good benefits for new parents (8 weeks paid for all parents, additional 6 for moms; allow up to 2 years leave and 2 years part-time work) -fairly flexible - policies support remote work, flexing time to meet personal needs during the week - but not always supported in practice
";"-lots of red tape - very resistant to change & do not adapt new technology / tools quickly; red tape means more work to get good ideas implemented -lots of turnover at Beaumont site - lack of site knowledge / mentorship availability
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-09-02;Project Manager;Current Employee, more than 10 years;Not a place for diversity;"Salary tied to industry average
";"Basically employees are on a one-contract. One year of underperformance, you will be released.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-28;Geoscience Advisor;Former Employee, more than 10 years;Great company once upon a time;"Sakarya and benefits are very good. Challenging projects to work. Overall, good people to work with in the project teams.
";"Toxic work environment. Inconsistent management approaches. Have to be “sponsored” by a higher level manager to survive performance ranking and to get decent project assignments so you can perhaps advance in the company. Management tends to lack integrity with their own people. They say they value diversity and inclusion though actions in meetings, decision making, etc. it is obvious they do what they want…still an old white mans, good ol’ buddy mindset…fear and command.
Verify your email to continue reading or Resend email
2 people found this review helpful
Helpful
Share
Repor"
2021-08-31;Process Engineer;Current Employee, more than 1 year;Good pay, struggle with culture;"Good Salary, some friendly people, lots of opportunities for growth
";"Culture, zero work life balance, harsh environment
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-31;Project Manager;Current Employee;Motivated Individual Contributors, Disengaged Sr. Leadership;"Above average compensation package Strong analytical and driven culture Work place flexibility in some functions are good.
";"Big company, typical bureaucracy. Longevity and Security have begun to degrade Sr. Mgmt very disconnected with the individual contributor level.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-17;Product Manager;Current Employee, more than 10 years;Happy;"Good pay and benefits, stability (generally), opportunities to travel, smart people, nice facilities, values safety of employees
";"“Relative” performance assessment process is time consuming and demoralizing. Less flexibility than other companies to work remotely.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
